Date,Type,Value,Transaction Currency,Gross Amount,Currency Gross Amount,Exchange Rate,Fees,Taxes,Shares,ISIN,WKN,Ticker Symbol,Security Name,Note
2024-03-09T00:00,Buy,111.52,USD,,,,0.11,0.00,2.6344,US82889N8552,490450360,PFIX,SIMPLIFY INTEREST RATE HEDGE,Trade-ID: 6637084342 | Transaction-ID: 28957504586
2024-03-10T00:00,Buy,107.36,USD,,,,0.11,0.00,5.3894,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 6741958583 | Transaction-ID: 29375650491
2024-03-10T00:00,Buy,"1,144.96",USD,,,,1.00,0.00,57.3701,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 6742001668 | Transaction-ID: 29375742873
2024-03-21T00:00,Buy,373.76,USD,,,,1.00,0.00,3.3743,US9220427424,52197301,0LMN.L,VANGUARD TOT WORLD STK ETF,Trade-ID: 6160002924 | Transaction-ID: 26981161164
2024-03-25T00:00,Buy,227.84,USD,,,,1.00,0.00,3.7649,US46137V2410,319359474,SPHQ,INVESCO S&P 500 QUALITY ETF,Trade-ID: 6167082250 | Transaction-ID: 27013041258
2024-03-26T00:00,Buy,88.82,USD,,,,0.00,0.00,10.65,US92647P6390,212175478,CBHAX,Victory Capital VICTORY MARKET NEUTRAL INCOME FD A,Trade-ID: 6170494212 | Transaction-ID: 27028449921
2024-04-01T00:00,Buy,82.08,USD,,,,0.08,0.00,4,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 5959277593 | Transaction-ID: 26100215887
2024-04-01T00:00,Buy,246.01,USD,,,,0.25,0.00,12,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 5959259051 | Transaction-ID: 26100141931
2024-04-01T00:00,Buy,779.18,USD,,,,0.75,0.00,38,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 5959259321 | Transaction-ID: 26100142022
2024-04-22T00:00,Sell,"-8,212.90",USD,,,,1.10,0.00,200,US45783Y8140,519070808,BUFF,INNOVATOR LADDERED ALLOCATIO,Trade-ID: 6236309625 | Transaction-ID: 27323537413
2024-04-22T00:00,Sell,"-8,213.90",USD,,,,1.10,0.00,200,US45783Y8140,519070808,BUFF,INNOVATOR LADDERED ALLOCATIO,Trade-ID: 6236365351 | Transaction-ID: 27323695095
2024-04-22T00:00,Sell,"-16,401.80",USD,,,,2.20,0.00,400,US45783Y8140,519070808,BUFF,INNOVATOR LADDERED ALLOCATIO,Trade-ID: 6236800388 | Transaction-ID: 27324792104
